lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,bcmean
10,0,0,10,54,16,6,0,0,0,3,0,27193252.0,-11.0,146.0,19,74,50,33,17,16,23,1413,229,11,123,165,41,8169,334,-63,397,224,161,230,20,344087520,44425696,14641555,27,115437584,54665952,115437584,54665952,1631,312,8,-0.23775287324433
11,0,2,10,25,28,14,0,0,0,6,3,11020848.0,-56.0,82.0,21,73,45,37,18,15,28,1323,237,6,71,159,37,8797,302,-117,419,62,180,186,-40,122824840,12875679,8211118,11,35102716,27002776,35102716,27002776,1842,337,0,0.445587352871986
4,0,3,5,11,36,39,0,2,0,1,0,29362.0,-34.0,92.0,21,73,36,44,20,14,29,1297,239,9,80,146,38,7999,298,-83,381,-10,181,187,-19,355460,42734,16355,26,109204,56965,109204,56965,1540,282,2,0.767819194724776
9,0,0,9,54,19,5,0,0,0,4,0,19893989.0,-18.0,139.0,19,74,50,33,17,17,23,1401,230,11,111,163,40,8384,327,-77,404,214,150,221,5,262930944,30406556,12609592,19,80286480,48142936,80286480,48142936,1742,327,7,-0.599060588036248
6,0,0,7,57,17,4,0,0,0,1,3,7032060.0,23.5,177.5,16,74,50,32,16,15,22,1425,225,12,136,156,39,8521,350,-48,398,241,176,248,29,86636056,10258059,4630035,20,27521790,16985468,27521790,16985468,1428,332,0,-0.819355607851247
9,0,0,9,52,19,5,0,0,0,1,1,13758530.5,-17.5,139.0,20,73,49,33,17,16,23,1402,228,11,112,163,40,8462,328,-77,405,216,151,223,5,191024384,22794574,9852712,20,60686572,36563684,60686572,36563684,1718,312,0,-0.625001434930521
5,0,5,7,8,39,37,0,0,0,0,0,7848.0,-20.0,134.0,19,71,39,41,20,10,32,1401,240,6,60,160,37,9177,299,-133,432,-44,172,178,-59,117304,16194,4449,39,45357,16014,45357,16014,1630,384,2,0.121812323211748
45,0,0,10,2,10,3,0,15,0,14,0,2661.0,-42.0,82.0,40,66,39,43,19,15,24,1304,240,6,67,140,36,8161,287,-96,383,109,23,173,-36,38918,4810,2521,23,12231,7983,12231,7983,1279,575,1,-1.08644092942808
11,0,2,10,26,28,13,0,0,0,6,3,10994938.0,-36.5,109.5,21,73,45,37,18,15,28,1324,237,6,71,159,38,8802,302,-117,419,61,180,186,-40,121437968,12712670,8156349,10,34702544,26800428,34702544,26800428,1849,340,6,-0.230532031399435
9,0,0,13,55,12,10,0,0,0,0,0,600654.0,-4.0,146.0,19,75,46,34,19,14,25,1405,225,15,129,163,41,8059,342,-48,390,46,164,236,30,5746791,697863,173659,29,1884808,869630,1884808,869630,1610,380,5,0.197779409752643
13,0,1,10,43,25,7,0,0,0,1,0,13779516.0,-53.0,100.0,25,72,50,34,16,17,24,1365,231,11,81,166,39,8665,302,-116,418,186,123,194,-29,191116608,22760254,10556094,20,61338584,38016128,61338584,38016128,2092,318,7,-0.735891948859466
24,0,4,12,13,28,18,0,0,0,0,1,2600492.0,-42.0,103.0,30,69,46,39,16,18,29,1298,239,5,37,157,37,8992,270,-153,423,81,146,153,-78,33661296,3638893,2167735,17,9740099,7055444,9740099,7055444,2051,394,6,-0.385390354088704
27,0,3,12,13,27,16,0,0,0,0,1,2243962.0,-46.0,100.0,31,68,47,38,15,19,28,1293,239,5,34,159,37,9027,268,-158,426,78,104,150,-82,29544724,3153103,1875349,17,8469747,6165141,8469747,6165141,2100,426,6,-0.709915570171883
11,0,7,10,2,42,27,0,0,0,0,0,81678.0,-19.0,119.0,30,71,36,44,21,10,33,1330,236,8,58,146,36,8664,284,-117,401,98,164,170,-53,931868,106589,55048,16,277385,187228,277385,187228,1847,371,4,0.0889846151081995
18,0,0,22,43,7,9,0,0,0,0,0,514385.0,-21.0,149.0,27,73,43,36,22,12,30,1378,229,14,118,178,47,7239,322,-52,374,210,147,215,30,5252814,860459,145174,45,2066966,596665,2066966,596665,1710,197,5,-1.18215354939386
15,0,6,12,9,28,21,0,4,0,0,4,726775.0,-23.0,117.5,27,70,41,39,19,13,28,1307,239,4,80,152,37,8732,307,-103,410,-11,195,195,-30,7232495,769991,386314,20,2163121,1240573,2163121,1240573,1965,572,4,1.49812517675597
30,0,0,26,33,4,6,0,0,0,0,0,1997368.0,-22.0,139.0,31,69,45,35,20,14,28,1400,225,15,135,172,46,7243,332,-37,369,226,165,231,46,23767312,3648322,541141,44,8924067,2259475,8924067,2259475,1612,331,6,1.16539019600931
